BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Algoritmo_Usado,Acima_Nota_Corte,Disciplina,Data_Analise
1,(EI03CO01),PENSAMENTO COMPUTACIONAL,"(EI03CO01) Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.","Computação plugada:
1) Criar padrões de repetição em sequência com formas e cores diferentes:
(i) por meio de editor de desenho;
(ii) por meio de ferramenta online (Pattern Shapes: https://apps.mathlearningcenter.org/pattern-shapes/).
2) Completar a sequência de figuras de acordo com o padrão estabelecido por meio de jogo online:
(i) Shape Pattern (https://www.topmarks.co.uk/ordering-and-sequencing/shape-patterns);
(ii) Chicken Dance (https://pbskids.org/peg/games/chicken-dance).
Computação desplugada:
1) Perceber, por meio de tarefas de sua rotina, a repetição de movimentos:
(i) comer um sanduíche (morder, mastigar, engolir);
(ii) respirar (inspirar, expirar).
2) Reconhecer padrão por meio de sons do próprio corpo:
(i) Perguntar às crianças se sabem o que é um padrão;
(ii) Escolher uma música produzida com sons do corpo;
(iii) E, após ouvir, fazer questionamentos como: Alguma coisa nessa música repete? O quê? Qual padrão você
conseguiu observar? Você consegue reproduzir?
3) Criar uma sequência a partir de um padrão de cores ou formas semelhantes, indicando a quantidade de
repetições por meio de blocos de montar ou outros materiais",128,(EI03ET02ME02),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES","(EI03ET02ME02) Vivenciar situações e experiências que envolvam misturas, transformações, gravidades.","Nomear e descrever características e semelhanças frente aos fenômenos da natureza, estabelecendo algumas relações de causa e efeito, levantando hipóteses, utilizando diferentes técnicas e instrumentos para reconhecer algumas características e consequências para a vida das pessoas. Reunir informações de diferentes fontes para descobrir por que as coisas acontecem e como funcionam, registrando e comunicando suas descobertas de diferentes formas (oralmente, por meio da escrita, da representação gráfica, de encenações etc.). Reconhecer características geográficas e paisagens que identificam os lugares onde vivem, destacando aqueles que são típicos de sua região. Observar fenômenos naturais por meio de diferentes recursos e experiências. Utilizar a água para satisfazer suas necessidades (hidratação, higiene pessoal, alimentação, limpeza do espaço, etc.). Identificar os elementos e características do dia e da noite. Investigar e registrar as observações a seu modo, sobre os fenômenos e mistérios da natureza. Identificar os fenômenos naturais por meio de diferentes recursos e experiências. Observar o céu em diferentes momentos do dia. Expressar suas observações pela oralidade e registros. Experimentar sensações físicas, táteis em diversas situações da rotina. Observar e relatar sobre: o vento, a chuva, a luz do sol e outros. Experienciar simulações do dia e da noite com presença e ausência de luz e sol/lua. Explorar o efeito da luz por meio da sua presença ou ausência (luz e sombra). Explorar os quatro elementos por meio de experimentos (terra, fogo, ar e água). Fazer registros de suas observações por meio de desenhos, fotos, relatos, escrita espontânea e convencional. Fazer misturas, provocando mudanças físicas e químicas na realização de atividades de culinária, pinturas e experiências com água, terra, argila e outros. Perceber os elementos (terra, fogo, ar e água) enquanto produtores de fenômenos da natureza e reconhecer suas ações na vida humana (chuva, seca, frio e calor). Manipular tintas de diferentes cores e misturá-las identificando as cores que surgem, e registrando as constatações.",0.55277985,55.3%,Balanceado,Não,"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES",2025-09-17 16:04:33
1,(EI03CO01),PENSAMENTO COMPUTACIONAL,"(EI03CO01) Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.","Computação plugada:
1) Criar padrões de repetição em sequência com formas e cores diferentes:
(i) por meio de editor de desenho;
(ii) por meio de ferramenta online (Pattern Shapes: https://apps.mathlearningcenter.org/pattern-shapes/).
2) Completar a sequência de figuras de acordo com o padrão estabelecido por meio de jogo online:
(i) Shape Pattern (https://www.topmarks.co.uk/ordering-and-sequencing/shape-patterns);
(ii) Chicken Dance (https://pbskids.org/peg/games/chicken-dance).
Computação desplugada:
1) Perceber, por meio de tarefas de sua rotina, a repetição de movimentos:
(i) comer um sanduíche (morder, mastigar, engolir);
(ii) respirar (inspirar, expirar).
2) Reconhecer padrão por meio de sons do próprio corpo:
(i) Perguntar às crianças se sabem o que é um padrão;
(ii) Escolher uma música produzida com sons do corpo;
(iii) E, após ouvir, fazer questionamentos como: Alguma coisa nessa música repete? O quê? Qual padrão você
conseguiu observar? Você consegue reproduzir?
3) Criar uma sequência a partir de um padrão de cores ou formas semelhantes, indicando a quantidade de
repetições por meio de blocos de montar ou outros materiais",171,(EI01EF09),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",(EI01EF09) Conhecer e manipular diferentes instrumentos e suportes de escrita.,"- Participar de situações significativas de leitura e escrita. - Manipular e explorar revistas, livros e outros materiais impressos. - Explorar suportes textuais de materiais diversos: plástico, tecido, borracha, papel, dentre outros. - Registrar vivências utilizando diferentes suportes de escrita: tinta, giz de cera, carvão, dentre outros, conhecendo suas funções. - Explorar diferentes instrumentos e suportes de escrita em situações de brincadeira ou pequenos grupos. - Reconhecer os livros, demonstrando preferência por algumas histórias ou poemas ao apontar para solicitar a leitura.",0.5342072,53.4%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
1,(EI03CO01),PENSAMENTO COMPUTACIONAL,"(EI03CO01) Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.","Computação plugada:
1) Criar padrões de repetição em sequência com formas e cores diferentes:
(i) por meio de editor de desenho;
(ii) por meio de ferramenta online (Pattern Shapes: https://apps.mathlearningcenter.org/pattern-shapes/).
2) Completar a sequência de figuras de acordo com o padrão estabelecido por meio de jogo online:
(i) Shape Pattern (https://www.topmarks.co.uk/ordering-and-sequencing/shape-patterns);
(ii) Chicken Dance (https://pbskids.org/peg/games/chicken-dance).
Computação desplugada:
1) Perceber, por meio de tarefas de sua rotina, a repetição de movimentos:
(i) comer um sanduíche (morder, mastigar, engolir);
(ii) respirar (inspirar, expirar).
2) Reconhecer padrão por meio de sons do próprio corpo:
(i) Perguntar às crianças se sabem o que é um padrão;
(ii) Escolher uma música produzida com sons do corpo;
(iii) E, após ouvir, fazer questionamentos como: Alguma coisa nessa música repete? O quê? Qual padrão você
conseguiu observar? Você consegue reproduzir?
3) Criar uma sequência a partir de um padrão de cores ou formas semelhantes, indicando a quantidade de
repetições por meio de blocos de montar ou outros materiais",191,(EI02CG05),"CORPO, GESTOS E MOVIMENTOS","(EI02CG05) Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros","•    Conhecer e explorar novos objetos, seus usos ou funções. •    Coordenar o movimento das mãos para segurar o giz de cera, canetas, lápis e fazer suas marcas gráficas •    Adaptar a forma como segura instrumen- tos gráficos: pincel grosso, pincel de rolinho, giz de cera, giz pastel e outros para conse- guir diferentes marcas gráficas. •    Manusear    diferentes    riscadores    em suportes e planos variados. •    Manusear   gradativamente   a   tesoura, descobrindo seu uso. •    Pintar, desenhar, rabiscar, folhear, recor- tar utilizando diferentes recursos e supor- tes. •    Explorar  jogos  de  montar,  empilhar  e encaixar. •    Participar de situações que envolvam o rasgar, o enrolar e o amassar. •    Modelar diferentes formas, de diferentes tamanhos com massinha ou argila. •    Explorar  livros  de  materiais  diversos: plástico, tecido, borracha, papel. •    Virar páginas de livros, revistas, jornais e etc. com crescente habilidade. •    Conhecer  brinquedos  ou  jogos  de  sua cultura local.",0.5301609,53.0%,Balanceado,Não,"CORPO, GESTOS E MOVIMENTOS",2025-09-17 16:04:33
2,(EI03CO02),PENSAMENTO COMPUTACIONAL,(EI03CO02) Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,"Computação plugada:
1) Experienciar as etapas de execução de tarefas, discutindo como as tarefas são divididas em etapas a partir
de jogos digitais como:
(i) Cookie Monsters Foodie Truck (https://pbskids.org/sesame/games/cookie-monsters-foodie-truck/);
(ii) Ready Set Grow (https://pbskids.org/sesame/games/ready-set-grow/).
Computação desplugada:
1) Expressar as etapas de realização de tarefas diárias por meio de desenhos ou de forma oral;
2) Ordenar uma sequência de imagens que representam as etapas de uma tarefa diária.
Exemplo de uma tarefa diária - Hora de dormir:
(i) tomar banho,
(ii) colocar pijama,
(iii) escovar os dentes,
(iv) ouvir uma história,
(v) dormir.",211,(EI02EO02),"O EU, O OUTRO E O NÓS",(EI02EO02) Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.,"Explorar progressivamente o próprio corpo para conhecê-lo, percebendo suas capacidades e limitações. Reconhecer sua imagem corporal no espelho ou em fotos. Brincar com o corpo por meio de gestos e movimentos. Identificar partes do corpo e mostrar correspondências com as dos colegas. Perceber características e habilidades corporais na realização de tarefas simples. Cuidar da apresentação pessoal e de seus pertences. Expressar emoções e sentimentos de maneira que seus hábitos, ritmos e preferências individuais sejam respeitados pelo grupo. Participar de momentos de escolha, manifestando interesses e curiosidades. Realizar atividades que exijam autonomia, como trazer ou levar objetos dentro da sala quando solicitado. Solicitar ajuda quando estiver com dificuldades e ajudar os colegas quando necessário. Conhecer sua identidade, seu nome, suas histórias e suas características.",0.61649364,61.6%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",169,(EI01EF07),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI01EF07) Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).","- Manipular livros, cartazes, revistas e outros materiais. - Explorar diferentes tipos de materiais impressos imitando ações e comportamentos típicos de um leitor, como virar a página, apontar as imagens, usar palavras, gestos ou vocalizar na intenção de ler em voz alta o que está escrito. - Manipular e explorar instrumentos tecnológicos como microfone, telefone, dentre outros, percebendo suas funções. - Identificar o uso e a função de alguns recursos tecnológicos e midiáticos, por exemplo, dançando ou cantando quando o(a) professor(a) pega um CD, encenando frente a uma filmadora ou fazendo pose frente a uma máquina fotográfica.",0.6629386,66.3%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",168,(EI01EF06),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI01EF06) Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.","- Comunicar-se com professor(a) e colegas realizando diferentes formas de expressão e buscando-se entender. - Responder a estímulos sorrindo ou parando de chorar. - Participar de experiências de interação que envolvem jogos corporais como, por exemplo, esconder partes do corpo e ter prazer ao encontrá-las, situações de dar e receber brinquedos ou outros objetos para que tenha a oportunidade de brincar, interagir e se comunicar. - Responder com gestos e outros movimentos com a intenção de comunicar-se. - Responder a perguntas simples com linguagem não verbal. - Executar gestos simples quando solicitada. - Usar palavras para designar objetos ou pessoas. - Imitar sons e gestos realizados por outras pessoas. - Expressar-se com gestos comuns de sua cultura, como: ""dar tchau"", brincar de barco emitindo o movimento e som do impacto nas águas, imitar o movimento e som do carro ao acelerar, dentre outras possibilidades.",0.621958,62.2%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
3,(EI03CO03),PENSAMENTO COMPUTACIONAL,(EI03CO03) Experienciar a execução de algoritmos brincando com objetos (des)plugados.,"Computação plugada:
1) Experienciar a execução de algoritmos por meio de
(i) jogos digitais (e.g. Follow the Code: https://www.mathplayground.com/follow_the_code.html);
(ii) brinquedos robóticos (e.g. Rope: http://smartfunbrasil.com/).
Computação desplugada:
1) Experienciar a execução de algoritmos por meio de percursos realizados a partir de desenhos no chão (ou
maquetes) como, por exemplo:
(i) jogos de labirinto;
(ii) amarelinha;
(iii) sequências de números;
(iv) sequências de cores;
2) Experienciar a execução de algoritmos por meio de atividades manuais (e.g. dobraduras, bordado, costura).
Exemplo: Executar o seguinte algoritmo
Passo (1) - Pegar uma folha de papel sulfite;
Passo (2) - Dobrar esta folha ao meio;
Passo (3) - Dobrar novamente ao meio;
Passo (4) - Dobrar novamente ao meio;
Avaliar o resultado refletindo sobre: (a) Quantas vezes pode-se repetir este passo? e (b) Existem formas
diferentes de dobrar o papel ao meio?",48,(EI03ET01ME2),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES E TRANSFORMAÇÕES",(EI03ET01ME2) Estabelecer relações entre partes e todo.,"• Manipular objetos e brinquedos de materiais diversos, explorando suas características físicas e suas possibilidades: morder, chupar, produzir sons, apertar, encher, esvaziar, empilhar, colocar dentro, fora, fazer afundar, flutuar, soprar, montar, construir, lançar, jogar etc. • Identificar objetos pessoais e do meio em que vive, conhecendo suas características, propriedades e função social, para que possa utilizá-los de forma independente, de acordo com suas necessidades. • Manipular objetos e brinquedos explorando características, propriedades e possibilidades associativas (empilhar, rolar, transvasar, encaixar). • Pesquisar, experimentar e sentir os elementos naturais: areia, água, barro, pedras, plantas etc. • Usar características opostas das grandezas de objetos (grande/pequeno, comprido/curto etc.) ao falar sobre eles. • Diferenciar, diante de objetos ou figuras, características como aberto/fechado, todo/parte, interior/exterior. • Identificar fronteiras: fora/dentro. • Perceber semelhanças e diferenças, com apoio de imagens e objetos. • Manipular, explorar, comparar, organizar, sequenciar e ordenar diversos materiais. • Comparar, classificar e ordenar (seriação) os objetos seguindo alguns critérios, como cor, forma, textura, tamanho, função etc. • Participar de situações que envolvam unidades de medida: comprimento, massa e capacidade. • Comparar tamanhos, pesos, capacidades e temperaturas de objetos, estabelecendo relações. • Fazer uso de diferentes procedimentos ao comparar objetos. • Colecionar objetos com diferentes características físicas e reconhecer formas de organizá-los. • Observar e identificar no meio natural e social as formas geométricas, percebendo diferenças e semelhanças entre os objetos no espaço em situações diversas. • Reconhecer e nomear as figuras geométricas planas: triângulo, círculo, quadrado, retângulo. • Estabelecer relações entre os sólidos geométricos e os objetos presentes no seu ambiente. • Estimular brincadeiras com traçado das figuras geométricas no chão e construções de figuras geométricas planas e tridimensionais.",0.5967892,59.7%,Balanceado,Não,"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES E TRANSFORMAÇÕES",2025-09-17 16:04:33
4,(EI03CO04),PENSAMENTO COMPUTACIONAL,(EI03CO04) Criar e representar algoritmos para resolver problemas.,"Computação Plugada:
1) Explorar jogos digitais, puzzles e jogos de programar que permitem representar uma sequência lógica
para resolver problemas. Como exemplos de recursos, temos:
(i) Jogos de sequência lógica (https://www.smartkids.com.br/jogos-educativos/c/jogos-sequencia-logica);
(ii) LightBot (https://lightbot.com/);
(iii) Scratch Jr. (https://www.scratchjr.org/).
Computação Desplugada:
1) Preparar uma receita (e.g. bolo, sorvete) com as crianças, evidenciando os passos para o preparo
(algoritmo). Dialogar com elas sobre a ordem das etapas. Como sugestão de material de apoio pedagógico,
temos a ""Minha Fábrica de Comida"" (https://lifes.dc.ufscar.br/computar/minha-fabrica-de-comida/).
2) Criar percursos, de uma origem até um destino, em um tabuleiro (e.g. papel, chão), representando os
passos do trajeto. Como sugestão de material de apoio pedagógico, temos o “AlgoCards” (http://
www.computacional.com.br/) e ""Segue o Trilho"" (https://lifes.dc.ufscar.br/computar/segue-o-trilho/).",39,(EI03EF09ME05),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",(EI03EF09ME05) Utilizar práticas de escrita de acordo com o conhecimento de que dispõe sobre o sistema de escrita. ,"Vivenciar experiências que possibilitem perceber a presença da escrita em diferentes ambientes. Escrever o próprio nome (Primeiro nome), praticando a escrita espontânea em situações em que isso é necessário. Com auxílio da ficha no 1º semestre, sem auxílio da ficha ao final do 2º semestre. Reconhecer o próprio nome dentro do conjunto de nomes da turma, em situações em que isso se faça necessário. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, atingindo o nível pré-silábico no 1º semestre. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, podendo atingir o nível silábico (SVS) ao final do 2º semestre. Vivenciar jogos e brincadeiras que envolvam a escrita (forca, bingos, cruzadinhas, etc.) e utilizar materiais escritos em brincadeiras de faz de conta. Escolher palavras-chave das parlendas para fazer comparação entre as palavras: palavra maior/menor, número de letras/sílabas, quantas vezes abre a boca para falar as palavras, letra inicial/final. Participar de jogos que relacionam imagens e palavras. Brincar com a sonoridade das palavras, explorando-as e estabelecendo relações com sua representação escrita. Utilizar suportes de escrita diversos para desenhar e escrever espontaneamente (cartolina, sulfite, livros, revistinhas e outros). Registrar suas ideias utilizando desenhos, símbolos e palavras, escritas à sua maneira. Realizar tentativas de escrita com recursos variados e em diferentes suportes. Participar   coletivamente   da   leitura   e escrita de listas, bilhetes, recados, convites, cantigas,  textos,  receitas  e  outros,  tendo o(a) professor(a) como leitor e escriba. Ter contato com o alfabeto em diferentes situações: brincadeiras, jogos e outros. Em situações de escrita verbalizar suas hipóteses sobre a escrita. Participar   de   atividades   coletivas   ou individuais    que    envolvam    letra/desenho/palavra. Em roda de histórias, parlendas, quadri- nhas,   músicas, etc, identificando início e final do texto, marcando e apontando. Em rodas de manipulação de livros, roda de  histórias,  rodas  de  poesias,  parlendas, identificar localização do título nos textos e livros. Com  palavras  que  fazem  parte  do  seu repertório (parlendas, poesias. quadrinhas, músicas)  com  a  intervenção  do  professor fazer  a  análise  graficamente  as  palavras (número de letras⁄sílabas, letra inicial⁄final).  Participar  de  atividades  lúdicas  (lista, chamadas, nome de histórias, etc) usando a escrita  espontânea  para  comunicar  suas ideias e opiniões aos colegas e professores(as). Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Em sala participar de atividades (chama- da, ficha de nome, bingo de nomes, jogo da memória,etc) identificando o próprio nome e dos colegas para o reconhecimento dos mesmos em situações da rotina escolar.",0.6610683,66.1%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
4,(EI03CO04),PENSAMENTO COMPUTACIONAL,(EI03CO04) Criar e representar algoritmos para resolver problemas.,"Computação Plugada:
1) Explorar jogos digitais, puzzles e jogos de programar que permitem representar uma sequência lógica
para resolver problemas. Como exemplos de recursos, temos:
(i) Jogos de sequência lógica (https://www.smartkids.com.br/jogos-educativos/c/jogos-sequencia-logica);
(ii) LightBot (https://lightbot.com/);
(iii) Scratch Jr. (https://www.scratchjr.org/).
Computação Desplugada:
1) Preparar uma receita (e.g. bolo, sorvete) com as crianças, evidenciando os passos para o preparo
(algoritmo). Dialogar com elas sobre a ordem das etapas. Como sugestão de material de apoio pedagógico,
temos a ""Minha Fábrica de Comida"" (https://lifes.dc.ufscar.br/computar/minha-fabrica-de-comida/).
2) Criar percursos, de uma origem até um destino, em um tabuleiro (e.g. papel, chão), representando os
passos do trajeto. Como sugestão de material de apoio pedagógico, temos o “AlgoCards” (http://
www.computacional.com.br/) e ""Segue o Trilho"" (https://lifes.dc.ufscar.br/computar/segue-o-trilho/).",34,(EI03EF09),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI03EF09) Levantar hipóteses em relação à linguagem escrita, realizando registros de palavras e textos, por meio de escrita espontânea.","Vivenciar experiências que possibilitem perceber a presença da escrita em diferentes ambientes. Escrever o próprio nome (Primeiro nome), praticando a escrita espontânea em situações em que isso é necessário. Com auxílio da ficha no 1º semestre, sem auxílio da ficha ao final do 2º semestre. Reconhecer o próprio nome dentro do conjunto de nomes da turma, em situações em que isso se faça necessário. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, atingindo o nível pré-silábico no 1º semestre. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, podendo atingir o nível silábico (SVS) ao final do 2º semestre. Vivenciar jogos e brincadeiras que envolvam a escrita (forca, bingos, cruzadinhas, etc.) e utilizar materiais escritos em brincadeiras de faz de conta. Escolher palavras-chave das parlendas para fazer comparação entre as palavras: palavra maior/menor, número de letras/sílabas, quantas vezes abre a boca para falar as palavras, letra inicial/final. Participar de jogos que relacionam imagens e palavras. Brincar com a sonoridade das palavras, explorando-as e estabelecendo relações com sua representação escrita. Utilizar suportes de escrita diversos para desenhar e escrever espontaneamente (cartolina, sulfite, livros, revistinhas e outros). Registrar suas ideias utilizando desenhos, símbolos e palavras, escritas à sua maneira. Realizar tentativas de escrita com recursos variados e em diferentes suportes. Participar   coletivamente   da   leitura   e escrita de listas, bilhetes, recados, convites, cantigas,  textos,  receitas  e  outros,  tendo o(a) professor(a) como leitor e escriba. Ter contato com o alfabeto em diferentes situações: brincadeiras, jogos e outros. Em situações de escrita verbalizar suas hipóteses sobre a escrita. Participar   de   atividades   coletivas   ou individuais    que    envolvam    letra/desenho/palavra. Em roda de histórias, parlendas, quadri- nhas,   músicas, etc, identificando início e final do texto, marcando e apontando. Em rodas de manipulação de livros, roda de  histórias,  rodas  de  poesias,  parlendas, identificar localização do título nos textos e livros. Com  palavras  que  fazem  parte  do  seu repertório (parlendas, poesias. quadrinhas, músicas)  com  a  intervenção  do  professor fazer  a  análise  graficamente  as  palavras (número de letras⁄sílabas, letra inicial⁄final).  Participar  de  atividades  lúdicas  (lista, chamadas, nome de histórias, etc) usando a escrita  espontânea  para  comunicar  suas ideias e opiniões aos colegas e professores(as). Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Em sala participar de atividades (chama- da, ficha de nome, bingo de nomes, jogo da memória,etc) identificando o próprio nome e dos colegas para o reconhecimento dos mesmos em situações da rotina escolar.",0.64893824,64.9%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
