BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Algoritmo_Usado,Acima_Nota_Corte,Disciplina,Data_Analise
4,(EI03CO04),PENSAMENTO COMPUTACIONAL,(EI03CO04) Criar e representar algoritmos para resolver problemas.,"Computação Plugada:
1) Explorar jogos digitais, puzzles e jogos de programar que permitem representar uma sequência lógica
para resolver problemas. Como exemplos de recursos, temos:
(i) Jogos de sequência lógica (https://www.smartkids.com.br/jogos-educativos/c/jogos-sequencia-logica);
(ii) LightBot (https://lightbot.com/);
(iii) Scratch Jr. (https://www.scratchjr.org/).
Computação Desplugada:
1) Preparar uma receita (e.g. bolo, sorvete) com as crianças, evidenciando os passos para o preparo
(algoritmo). Dialogar com elas sobre a ordem das etapas. Como sugestão de material de apoio pedagógico,
temos a ""Minha Fábrica de Comida"" (https://lifes.dc.ufscar.br/computar/minha-fabrica-de-comida/).
2) Criar percursos, de uma origem até um destino, em um tabuleiro (e.g. papel, chão), representando os
passos do trajeto. Como sugestão de material de apoio pedagógico, temos o “AlgoCards” (http://
www.computacional.com.br/) e ""Segue o Trilho"" (https://lifes.dc.ufscar.br/computar/segue-o-trilho/).",73,(EI03EO07),"O EU, O OUTRO E O NÓS",(EI03EO07) Usar estratégias pautadas no respeito mútuo para lidar com conflitos nas interações com crianças e adultos.,"Expressar, reconhecer e nomear necessidades, emoções e sentimentos que vivencia e observa no outro. Cooperar, compartilhar objetos e receber auxílio quando necessário. Utilizar estratégias pacíficas ao tentar resolver conflitos com outras crianças, buscando compreender a posição e o sentimento do outro. Utilizar estratégias para resolver seus conflitos relacionais considerando soluções que satisfaçam a ambas as partes. Realizar a escuta do outro. Saber desculpar-se quando sua atitude desrespeitar o outro. Usar do diálogo e estratégias simples para resolver conflitos, reconhecendo as diferentes opiniões e aprendendo a respeitá-las.",0.60419756,60.4%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
5,(EI03CO05),PENSAMENTO COMPUTACIONAL,(EI03CO05) Comparar soluções algorítmicas para resolver um mesmo problema.,"Computação Plugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um jogo digital de labirinto.
Computação Desplugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um labirinto marcado no chão;
2) Comparar diferentes formas de se realizar tarefas diárias como:
(i) escovar os dentes,
(ii) tomar banho,
(iii) colocar roupa.",125,(EI03ET01ME02),"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES",(EI03ET01ME02) Estabelecer relações entre partes e todo.,"Comparar tamanhos, pesos, volumes e temperaturas de objetos, estabelecendo relações. Usar características opostas das grandezas de objetos (grande/pequeno, comprido/curto etc.) ao falar sobre eles. Fazer uso de diferentes procedimentos ao comparar objetos. Manipular e explorar objetos e brinquedos de materiais diversos, explorando suas características físicas e suas possibilidades: morder, chupar, produzir sons, apertar, encher, esvaziar, empilhar, colocar dentro, fora, fazer afundar, flutuar, soprar, montar, etc. Manipular, explorar, comparar, organizar, sequenciar e ordenar diversos materiais. Comparar, organizar, sequenciar, ordenar e classificar objetos e brinquedos seguindo critérios estabelecidos, como: cor, forma, tamanho e outros atributos. Identificar posições observando elementos no espaço: em cima, embaixo, dentro, fora, perto, longe, à frente, atrás, ao lado de, primeiro, último, de frente, de costas, no meio, entre, à esquerda, à direita. Observar e identificar no meio natural e social as formas geométricas, percebendo diferenças e semelhanças entre os objetos no espaço em situações diversas. Colecionar objetos com diferentes características físicas reconhecendo formas de organizá-los. Observar e reconhecer algumas características dos objetos produzidos em diferentes épocas e por diferentes grupos sociais percebendo suas transformações. Manipular objetos e brinquedos explorando  características,  propriedades e suas possibilidades associativas (empilhar, rolar, transvasar, encaixar e outros). Identificar objetos pessoais e do meio em que vive conhecendo suas características, propriedades  e  função  social  para  que possa  utilizá-los  de  forma  independente de acordo com suas necessidades. Participar de situações que envolvam a contagem  de  objetos,  medição  de  massa, volume e tempo. Reconhecer e nomear as figuras geométricas planas: triângulo, círculo, quadrado, retângulo. Estabelecer  relações  entre  os  sólidos geométricos e os objetos presentes no seu ambiente. Explorar semelhanças e diferenças, comparar,  classificar  e  ordenar  (seriação) os objetos seguindo alguns critérios, como cor, forma, textura, tamanho, função etc.",0.61004716,61.0%,Balanceado,Não,"ESPAÇOS, TEMPOS, QUANTIDADES, RELAÇÕES",2025-09-17 16:04:33
5,(EI03CO05),PENSAMENTO COMPUTACIONAL,(EI03CO05) Comparar soluções algorítmicas para resolver um mesmo problema.,"Computação Plugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um jogo digital de labirinto.
Computação Desplugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um labirinto marcado no chão;
2) Comparar diferentes formas de se realizar tarefas diárias como:
(i) escovar os dentes,
(ii) tomar banho,
(iii) colocar roupa.",5,(EI03CG05),"CORPO, GESTOS E MOVIMENTOS",(EI03CG05) Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,"Manusear e nomear elementos do meio natural e objetos produzidos pelo homem, utilizando-os em suas produções manuais. Usar a tesoura sem ponta para recortar. Manipular objetos de diferentes tamanhos e pesos. Explorar materiais como argila, barro, massinha de modelar e outros, com variadas intenções de criação. Manipular objetos pequenos construindo brinquedos ou jogos e utilizar instrumentos como palitos, rolos e pequenas espátulas nas suas produções com cada vez maior destreza. Manusear diferentes riscadores em suportes e planos variados para perceber suas diferenças e registrar suas ideias. Vivenciar situações em que é feito o contorno do próprio corpo, nomeando suas partes e vestimentas. Participar de jogos e brincadeiras de construção utilizando elementos estruturados ou não, com o intuito de montar, empilhar, encaixar e outros. Virar páginas de livros, revistas, jornais e outros com crescente habilidade. Executar habilidades manuais utilizando recursos variados: linha, lã, canudinho, argola e outros. Realizar conquistas relacionadas às suas habilidades manuais.",0.5612204,56.1%,Balanceado,Não,"CORPO, GESTOS E MOVIMENTOS",2025-09-17 16:04:33
5,(EI03CO05),PENSAMENTO COMPUTACIONAL,(EI03CO05) Comparar soluções algorítmicas para resolver um mesmo problema.,"Computação Plugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um jogo digital de labirinto.
Computação Desplugada:
1) Comparar diferentes rotas executadas pelas crianças a partir de um labirinto marcado no chão;
2) Comparar diferentes formas de se realizar tarefas diárias como:
(i) escovar os dentes,
(ii) tomar banho,
(iii) colocar roupa.",111,(EI03EF07ME02),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI03EF07ME02) Participar de situações significativas de leitura de gêneros e tipologias textuais variados, através da leitura realizada pela professora, da leitura realizada pelas crianças que não sabem ler (“pseudoleitura”), leitura de ilustrações, de textos não-verbais.","Compreender a escrita por meio do manuseio de livros, revistas e outros portadores de textos e da participação em diversas situações nas quais seus usos se fazem necessários. Compreender como se organiza a escrita em nossa cultura: de cima para baixo, da esquerda para a direita. Identificar as letras do alfabeto em diversas situações da rotina escolar. Registrar o nome e outros textos significativos realizando tentativas de escrita. Identificar símbolos que representam ideias, locais, objetos e momentos da rotina: a marca do biscoito preferido, placa do banheiro, cartaz de rotina do dia etc. Observar o registro textual tendo o(a) professor(a) como escriba. Acompanhar a leitura apontada do texto realizada pelo(a) professor(a). Atentar-se para a escuta da leitura feita pelo(a) professor(a), em ocasiões variadas, sobretudo nas situações de leitura de histórias e na diversidade textual, ampliando seu repertório linguístico e observação gráfica das palavras.",0.55037045,55.0%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",235,(EI02EF07ME01),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",(EI02EF07ME01) Conhecer e identificar as gravuras que compõem as rotinas da turma.,"• Participar de situações em que é convidado a contar ou criar histórias com ou sem o apoio de imagens, fotos ou temas disparadores.   • Dramatizar situações do dia a dia e narrativas tendo o professor como narrador (marcando com entonações diferentes e indicando o caminho) em textos literários, parlendas, poesias, cantigas.   • Ouvir e nomear objetos, pessoas, personagens, fotografias e gravuras para ampliar seu vocabulário.   • Oralizar contextos e histórias a seu modo.   • Recontar histórias ao brincar de faz de conta.   • Relacionar diferentes histórias conhecidas.   • Simular leituras por meio de brincadeiras de faz de conta.   • Narrar situações do dia a dia no sentido de manifestar experiências vividas e ouvidas.",0.7168939,71.7%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",236,(EI02EF06ME02),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI02EF06ME02) Reconhecer as características de objetos, personagens, cenas de histórias e situações cotidianas.","• Participar de situações em que é convidado a contar ou criar histórias com ou sem o apoio de imagens, fotos ou temas disparadores.   • Dramatizar situações do dia a dia e narrativas tendo o professor como narrador (marcando com entonações diferentes e indicando o caminho) em textos literários, parlendas, poesias, cantigas.   • Ouvir e nomear objetos, pessoas, personagens, fotografias e gravuras para ampliar seu vocabulário.   • Oralizar contextos e histórias a seu modo.   • Recontar histórias ao brincar de faz de conta.   • Relacionar diferentes histórias conhecidas.   • Simular leituras por meio de brincadeiras de faz de conta.   • Narrar situações do dia a dia no sentido de manifestar experiências vividas e ouvidas.",0.69556177,69.6%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",144,(EI03EO03),"O EU, O OUTRO E O NÓS","(EI03EO03) Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.","Participar de brincadeiras de faz de conta, compartilhando propósitos comuns, representando diferentes papéis e convidando outros colegas para participar. Levar em consideração o ponto de vista de seus colegas. Perceber a expressão de sentimentos e emoções de seus companheiros. Explorar os espaços da instituição, do bairro e da cidade conhecendo ambientes, fatos históricos e interagindo com diferentes pessoas e contextos sociais. Relacionar-se com crianças da mesma idade e com outras, colaborando em situações diversas. Participar de situações de interações e brincadeiras agindo de forma solidária e colaborativa. Compartilhar objetos e espaços com crianças e professores(as) manifestando curiosidade e autonomia. Participar de conversas com professores(as) e crianças. Participar de situações em que é instruída a levar objetos ou transmitir recados em outros locais da instituição. Realizar a guarda de seus pertences no local adequado. Participar de jogos, conduzidos pelas crianças ou pelos professores(as), seguindo regras. Esperar a vez quando está realizando atividades em grupo. Participar de brincadeiras coletivas, assumindo papéis e criando enredos com os colegas.",0.6483554,64.8%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
7,(EI03CO07),MUNDO DIGITAL,"(EI03CO07) Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).","Computação (Des)plugada:
1) Propor atividades de visualização ou exploração de dispositivos eletrônicos (e.g. lanterna, calculadora,
televisão, celular, rádio, tablets) de forma a:
(i) possibilitar que as crianças possam ligar e desligar os aparelhos,
(ii) reconhecer quando estão ligados ou desligados, e
(iii) diferenciar dos dispositivos não-eletrônicos.
2) Participar de brincadeiras que demonstrem dois estados (ligado e desligado). Como brincadeiras de
exemplo:
(i) Seu Mestre Mandou;
(ii) Pega-gelo / Pega-congelou;
(iii) Estátua.",154,(EI03TS02),"TRAÇOS, SONS, CORES E FORMAS","(EI03TS02) Expressar-se livremente por meio de desenho, pintura, colagem, dobradura e escultura, criando produções bidimensionais e tridimensionais.","Criar com jogos de encaixe e de construção, explorando cores, formas e texturas. Interpretar canções e participar de brincadeiras cantadas para que se estimule a concentração, a atenção e a coordenação motora. Manipular e identificar materiais de diferentes texturas: lisas, ásperas, macias, duras, moles etc. Explorar e criar a partir de diversos materiais: pedrinhas, sementes, algodão, argila e outros. Separar objetos por cores, tamanho, forma, etc. Experimentar diversas possibilidades de representação visual bidimensional e tridimensional, utilizando materiais diversos: caixas, tecidos, tampinhas, gravetos, pedrinhas, lápis de cor, giz de cera, papéis etc. Explorar formas variadas dos objetos, percebendo as características das mesmas e utilizá-las em suas composições. Apreciar e oralizar sobre diferentes imagens do seu dia a dia. Explorar os elementos das Artes Visuais (ponto, linha e plano) a fim de que sejam considerados em suas produções. Criar desenhos, pinturas, colagens, modelagens a partir de seu próprio repertório e da utilização dos elementos da linguagem das Artes Visuais: ponto, linha, cor, forma, espaço e textura. Conhecer e apreciar artesanato e obras de Artes Visuais de diferentes técnicas, movimentos, épocas, estilos e culturas. Reconhecer as cores presentes na natureza e no dia a dia, nomeando-as, com o objetivo de fazer a correspondência entre cores e elementos. Experimentar as diversas possibilidades do processo de produção das cores secundárias e reconhecê-las na natureza, no dia a dia e em obras de arte.",0.687295,68.7%,Balanceado,Não,"TRAÇOS, SONS, CORES E FORMAS",2025-09-17 16:04:33
7,(EI03CO07),MUNDO DIGITAL,"(EI03CO07) Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).","Computação (Des)plugada:
1) Propor atividades de visualização ou exploração de dispositivos eletrônicos (e.g. lanterna, calculadora,
televisão, celular, rádio, tablets) de forma a:
(i) possibilitar que as crianças possam ligar e desligar os aparelhos,
(ii) reconhecer quando estão ligados ou desligados, e
(iii) diferenciar dos dispositivos não-eletrônicos.
2) Participar de brincadeiras que demonstrem dois estados (ligado e desligado). Como brincadeiras de
exemplo:
(i) Seu Mestre Mandou;
(ii) Pega-gelo / Pega-congelou;
(iii) Estátua.",213,(EI02EO04),"O EU, O OUTRO E O NÓS","(EI02EO04) Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.","Participar de situações de brincadeira compartilhando enredos e cenários. Utilizar expressões faciais para apoiar seus relatos de situações vividas ou expressar sua opinião sobre uma história ou questionamentos. Expressar sensações, sentimentos, desejos e ideias por meio de diferentes linguagens. Demonstrar suas ideias, sentimentos e emoções através da dança, da música ou da arte. Participar de situações que envolvam relatos simples de acontecimentos vivenciados. Interagir com pessoas de diferentes idades em diversas situações do dia a dia. Estabelecer relações com os colegas por meio de diferentes brincadeiras. Reconhecer seu próprio nome e o dos colegas em diferentes situações. Cooperar com os colegas ou professor(a) quando solicitado(a).",0.628106,62.8%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
7,(EI03CO07),MUNDO DIGITAL,"(EI03CO07) Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).","Computação (Des)plugada:
1) Propor atividades de visualização ou exploração de dispositivos eletrônicos (e.g. lanterna, calculadora,
televisão, celular, rádio, tablets) de forma a:
(i) possibilitar que as crianças possam ligar e desligar os aparelhos,
(ii) reconhecer quando estão ligados ou desligados, e
(iii) diferenciar dos dispositivos não-eletrônicos.
2) Participar de brincadeiras que demonstrem dois estados (ligado e desligado). Como brincadeiras de
exemplo:
(i) Seu Mestre Mandou;
(ii) Pega-gelo / Pega-congelou;
(iii) Estátua.",193,(EI02EF02),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",(EI02EF02) Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.,"Vivenciar brincadeiras com outras crianças e professores(as) acompanhando parlendas como ""janela, janelinha"", ""serra, serra, serrador"", ""bambalalão"" e outros. Confeccionar brinquedos a partir de materiais recicláveis para trabalhar sons e ritmos. Participar de brincadeiras cantadas. Escutar/imitar parlendas e participar de brincadeiras como corre-cotia produzindo diferentes entonações e ritmos. Completar cantigas e músicas. Participar de brincadeiras de linguagem que exploram a sonoridade das palavras. Explorar e brincar com a linguagem, criando sons e reproduzindo rimas e aliterações. Imitar diferentes sons da fala, de animais, barulhos, músicas e outros. Participar de momentos de contação de textos poéticos.",0.61300623,61.3%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
8,(EI03CO08),MUNDO DIGITAL,(EI03CO08) Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,"Computação Plugada
1) Reconhecer as diferentes interfaces de aparelhos (e.g. micro-ondas, computador, projetor, controle remoto
etc.) e suas partes, diferenciando as formas de comunicar ações.
2) Representar, por meio de editores gráficos (e.g. Paint), as diferentes interfaces de aparelhos e suas partes.
Computação Desplugada
1) Brincar de ""telefone sem fio"" (brincadeira popular), dialogando sobre o conceito de interface;
2) Criar desenhos representando diferentes formas de interface dos aparelhos e suas partes (e.g. criar as teclas
de um telefone).",180,(EI01EO03),"O EU, O OUTRO E O NÓS","(EI01EO03) Interagir com crianças da mesma faixa etária e adultos ao explorar espaços, materiais, objetos e brinquedos.","Conhecer e relacionar-se com as crianças e profissionais da instituição.  Interagir com os(as) professores(as), funcionários(as) e outras crianças estabelecendo vínculos afetivos.  Interagir com crianças de diferentes turmas, em situações coletivas e pequenos grupos.  Explorar materiais diversos como: caixas, bolas, chocalhos, chapéus, óculos, panelas, brinquedos, instrumentos musicais e outros, em situações de interação social.  Explorar objetos de nossa cultura tecnológica: livros, rádio, gravador, máquina de calcular, telefone e outros, interagindo com as demais crianças.  Brincar com jogos de encaixe e construção, experimentando possibilidades de montar, desmontar ou empilhar e derrubar.  Perceber por meio dos sentidos os atributos dos objetos, brincando entre pares. Experienciar coletivamente objetos que estimulam a percepção visual, tátil e sonora.  Vivenciar tarefas como guardar brinquedos. Participar de eventos culturais coletivos.  Oferecer brinquedos, objetos ou pedaços de alimento a outra pessoa.  Brincar livremente nos diversos espaços e ambientes escolares, interagindo com outras crianças e adultos. Visualizar imagens e escutar os nomes de meios de transportes que fazem parte do seu contexto.",0.65481275,65.5%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
8,(EI03CO08),MUNDO DIGITAL,(EI03CO08) Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,"Computação Plugada
1) Reconhecer as diferentes interfaces de aparelhos (e.g. micro-ondas, computador, projetor, controle remoto
etc.) e suas partes, diferenciando as formas de comunicar ações.
2) Representar, por meio de editores gráficos (e.g. Paint), as diferentes interfaces de aparelhos e suas partes.
Computação Desplugada
1) Brincar de ""telefone sem fio"" (brincadeira popular), dialogando sobre o conceito de interface;
2) Criar desenhos representando diferentes formas de interface dos aparelhos e suas partes (e.g. criar as teclas
de um telefone).",196,(EI02EF05),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI02EF05) Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos, etc.","Participar de variadas situações de comunicação.  Expressar-se por meio de balbucios, palavras e frases simples, transmitindo suas necessidades, desejos, sentimentos e percepção de mundo em relação aos textos e recursos audiovisuais observados.  Emitir sons articulados e gestos observados nos recursos textuais e audiovisuais.  Expressar-se em conversas, narrações e brincadeiras, ampliando seu vocabulário e fazendo uso de estruturas orais que aprimorem suas competências comunicativas.",0.62698364,62.7%,Balanceado,Não,"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO",2025-09-17 16:04:33
8,(EI03CO08),MUNDO DIGITAL,(EI03CO08) Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,"Computação Plugada
1) Reconhecer as diferentes interfaces de aparelhos (e.g. micro-ondas, computador, projetor, controle remoto
etc.) e suas partes, diferenciando as formas de comunicar ações.
2) Representar, por meio de editores gráficos (e.g. Paint), as diferentes interfaces de aparelhos e suas partes.
Computação Desplugada
1) Brincar de ""telefone sem fio"" (brincadeira popular), dialogando sobre o conceito de interface;
2) Criar desenhos representando diferentes formas de interface dos aparelhos e suas partes (e.g. criar as teclas
de um telefone).",72,(EI03EO06ME01),"O EU, O OUTRO E O NÓS","(EI03EO06ME01) Reconhecer que pertence a uma família, a um grupo, a uma escola e a uma comunidade.","Participar de brincadeiras que estimulam a relação entre o adulto/criança e criança/criança. Compreender e respeitar as diversas estruturas familiares. Reconhecer pessoas que fazem parte de sua comunidade, conversar com elas sobre o que fazem. Conhecer e se relacionar com crianças e pessoas de outros grupos sociais, seja por meio de situações presenciais, seja por outros meios de comunicação. Conhecer diferentes povos e suas culturas por meio de pesquisas, filmes, fotos, entrevistas, relatos e outros. Conhecer modos de vida urbana e rural. Ouvir relatos de familiares e pessoas de mais idade sobre outras épocas históricas. Conhecer objetos antigos e de outras culturas, como: ferro de passar roupa, escovão, fogão a lenha, lamparina e outros. Participar de diferentes eventos culturais para conhecer novos elementos como: dança, música, vestimentas, ornamentos e outros. Identificar as funções desempenhadas por diferentes profissionais. Conhecer e identificar profissões de pessoas que fazem parte de sua comunidade, como o padeiro, o fazendeiro, o pescador etc.",0.620867,62.1%,Balanceado,Não,"O EU, O OUTRO E O NÓS",2025-09-17 16:04:33
